Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
Abbotsford,49 Lithgow St,3,h,1490000,S,Jellis,1/4/2017,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,59A Turner St,3,h,1220000,S,Marshall,1/4/2017,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,119B Yarra St,3,h,1420000,S,Nelson,1/4/2017,3067,Northern Metropolitan,4019,3,Yarra City Council
Aberfeldie,68 Vida St,3,h,1515000,S,Barry,1/4/2017,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Airport West,92 Clydesdale Rd,2,h,670000,S,Nelson,1/4/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,4/32 Earl St,2,t,530000,S,Jellis,1/4/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,3/74 Hawker St,2,u,540000,S,Barry,1/4/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,1/26 Highridge Cr,3,h,715000,SP,Nelson,1/4/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Albanvale,1 Jackson Cct,6,h,,PI,hockingstuart,1/4/2017,3021,Western Metropolitan,1899,14,Brimbank City Council
Albert Park,18 Mills St,3,h,1925000,S,Cayzer,1/4/2017,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albion,3/15 Drummartin St,3,u,515000,S,Douglas,1/4/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Albion,3A Kororoit St,4,h,717000,S,Bells,1/4/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Alphington,55 Fulham Rd,2,h,1675000,S,Miles,1/4/2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Alphington,41 Toolangi Rd,4,h,2008000,S,Jellis,1/4/2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council
Altona,9 Delmont Av,2,h,860000,SP,Barlow,1/4/2017,3018,Western Metropolitan,5301,11,Hobsons Bay City Council
Altona Meadows,57 Tatman Dr,4,h,,SN,Barry,1/4/2017,3028,Western Metropolitan,7630,15.5,Hobsons Bay City Council
Altona North,14 Seventh Av,3,h,720000,S,Hunter,1/4/2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Armadale,2/23 Ashleigh Rd,2,u,836000,S,Jellis,1/4/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,6A Auburn Gr,2,h,2110000,S,Jellis,1/4/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,746 High St,3,h,1386000,S,Marshall,1/4/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,14/25 Kooyong Rd,2,u,580000,VB,hockingstuart,1/4/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,6/38 Wattletree Rd,1,u,355000,S,hockingstuart,1/4/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Ascot Vale,8 The Grove,3,h,1123100,S,Ray,1/4/2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ashburton,1/48 Karnak Rd,3,u,1270000,S,Fletchers,1/4/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,1 Pitt St,4,h,,S,Jellis,1/4/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,61A Victory Bvd,3,t,1610000,S,Jellis,1/4/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashwood,43 Douglas St,4,h,1435000,S,Ray,1/4/2017,3147,Southern Metropolitan,2894,10.2,Monash City Council
Aspendale,4 Jirrah Ct,4,h,1431000,S,hockingstuart,1/4/2017,3195,South-Eastern Metropolitan,2824,21.5,Kingston City Council
Aspendale Gardens,8 Mangrove Ct,4,h,996000,S,Ray,1/4/2017,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
Attwood,46 Threadneedle St,4,h,,SN,Barry,1/4/2017,3049,Northern Metropolitan,1130,16.5,Hume City Council
Avondale Heights,12 Duke St,4,h,825000,SP,hockingstuart,1/4/2017,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Balwyn,104/29 Belgrove Av,2,u,660800,SP,Fletchers,1/4/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,2/362 Belmore Rd,2,t,700000,PI,Walshe,1/4/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,9 Kenilworth St,5,h,2700000,PI,hockingstuart,1/4/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,4 Lynch Ct,3,h,2035000,PI,Marshall,1/4/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,4/40 Northcote Av,3,u,955000,S,Noel,1/4/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,306 Union Rd,4,h,1810000,S,Jellis,1/4/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn North,3 Abbott St,4,h,1850000,PI,Fletchers,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,12 Agnes Av,3,h,,SP,Fletchers,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,203 Belmore Rd,4,h,2600000,VB,Jellis,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,56 Clifton St,3,h,1220000,VB,hockingstuart,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,9 Cumberland Av,4,h,2470000,PI,Fletchers,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,1 Kalka St,4,h,,SP,Jellis,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,2/4 Maylands Av,2,u,800000,PI,Fletchers,1/4/2017,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Bayswater North,8 Wattle Rd,4,h,880000,S,Philip,1/4/2017,3153,Eastern Metropolitan,3598,23.2,Maroondah City Council
Beaumaris,500 Balcombe Rd,4,h,1285000,SP,Buxton,1/4/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,2/58 Haydens Rd,2,u,835000,S,Buxton,1/4/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Beaumaris,6 haywood St,4,h,1445000,S,Hodges,1/4/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
